id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.30669,0.38001,150,75
CA_C0002,2.73912,0.18093,0.14056,150,75
CA_C0003,2.08908,0.09763,0.07928,150,75
CA_C0004,2.95263,-0.11814,0.089,150,75
CA_C0005,2.17907,0.01478,0.01304,150,75
CA_C0006,3.22819,-0.07499,0.10538,150,75
CA_C0007,3.4759,0.23025,0.54953,150,75
CA_C0008,1.3434,0.39501,0.21313,150,75
CA_C0009,2.01886,0.49061,0.98436,150,75
CA_C0010,2.82889,0.00561,0.00359,150,75
CA_C0011,1.77427,-0.0485,0.02008,150,75
CA_C0012,2.50812,0.35497,0.17542,150,75
CA_C0013,1.71516,0.36043,0.30203,150,75
CA_C0014,3.62681,-0.18131,0.089,150,75
CA_C0015,3.77662,-0.41884,0.24236,150,75
CA_C0016,3.34755,0.24572,0.10605,150,75
CA_C0017,3.60634,-0.3474,0.16637,150,75
CA_C0018,2.55612,-0.39204,0.21621,150,75
CA_C0019,1.75569,0.56036,0.40331,150,75
CA_C0020,1.95133,-0.18919,0.07033,150,75
CA_C0021,2.98857,-0.34302,0.60632,150,75
CA_C0022,3.03432,0.38331,0.5398,150,75
CA_C0023,2.07668,-0.04485,0.02992,150,75
CA_C0024,2.84351,-0.69153,0.87913,150,75
CA_C0025,1.84108,-0.2002,0.18443,150,75
CA_C0026,1.90602,0.16274,0.12775,150,75
CA_C0027,2.36966,0.0918,0.07321,150,75
CA_C0028,3.35378,-0.53888,0.74723,150,75
CA_C0029,2.81761,0.02776,0.01725,150,75
CA_C0030,2.99658,-0.05903,0.04676,150,75
CA_C0031,1.93134,0.23201,0.19257,150,75
CA_C0032,2.48781,0.07451,0.10772,150,75
CA_C0033,2.58129,-0.22471,0.22696,150,75
CA_C0034,2.59792,0.23814,0.15422,150,75
CA_C0035,1.36663,-1.45497,1.08619,150,75
CA_C0036,1.21304,-0.06349,0.02923,150,75
CA_C0037,1.26714,-0.34371,0.20809,150,75
CA_C0038,0.60294,0.10889,0,150,75
CA_C0039,2.04126,-0.21641,0.2444,150,75
CA_C0040,1.68744,-0.63919,0.47189,150,75
CA_C0041,1.24435,0.4234,0.22442,150,75
CA_C0042,1.70139,0.43848,0.3023,150,75
CA_C0043,1.15865,0.34985,0.14041,150,75
CA_C0044,0.84178,0.08443,0,150,75
CA_C0045,1.71951,0.0939,0.03517,150,75
CA_C0046,1.11285,0.1626,0.05048,150,75
CA_C0047,1.07374,0.14301,0,150,75
CA_C0048,1.20641,0.39571,0.12172,150,75
CA_C0049,1.30261,0.38562,0.15839,150,75
CA_C0050,0.72999,-0.67973,0,150,75
CA_C0051,0.60894,-0.17751,0,150,75
CA_C0052,1.84921,0.5346,0.80701,150,75
CA_C0053,1.61557,-0.16875,0.12713,150,75
CA_C0055,1.33388,0.02311,0.01026,150,75
CA_C0056,2.21775,0.62364,0.35281,150,75
CA_C0057,2.42891,0.34469,0.16496,150,75
CA_C0058,1.77121,0.81253,0.43248,150,75
CA_C0059,1.9806,0.42145,0.20273,150,75
CA_C0060,2.70911,0.37632,0.2476,150,75
CA_C0061,2.88063,0.2813,0.15723,150,75
CA_C0062,2.18507,0.37611,0.25045,150,75
CA_C0063,3.14422,0.35008,0.20146,150,75
CA_C0064,1.80828,0.26337,0.12897,150,75
CA_C0065,1.96311,0.3401,0.15718,150,75
CA_C0066,1.85887,0.37572,0.3014,150,75
CA_C0067,1.57893,-0.091,0.04473,150,75
CA_C0068,1.7814,-0.0198,0.00899,150,75
CA_C0069,1.48203,0.57494,0.47189,150,75
CA_C0070,2.06699,-0.48302,0.4115,150,75
CA_C0071,1.50736,0.64703,0.47178,150,75
CA_C0072,0.72035,0.12494,0,150,75
CA_C0073,2.27303,-0.00332,0.00171,150,75
CA_C0075,0.89938,0.00569,0,150,75
CA_C0076,2.39367,0.08794,0.05906,150,75
CA_C0077,1.35518,0.2614,0.12433,150,75
CA_C0078,3.53263,-0.15541,0.12165,150,75
CA_C0079,3.03998,-0.31915,0.25258,150,75
CA_C0080,2.55593,-0.14767,0.15351,150,75
CA_C0081,2.08943,0.43696,0.70346,150,75
CA_C0082,3.75766,0.24485,0.48557,150,75
CA_C0083,2.933,0.22181,0.21918,150,75
CA_C0084,2.70511,0.33286,0.3132,150,75
CA_C0085,1.45251,-0.2566,0.11627,150,75
CA_C0086,1.55059,-0.03846,0.02008,150,75
CA_C0087,2.27665,0.05471,0.05318,150,75
CA_C0088,2.33705,0.31906,0.23288,150,75
CA_C0089,2.52584,0.16238,0.18798,150,75
CA_C0090,2.63943,0.0091,0.0062,150,75
CA_C0091,4.03471,0.06263,0.02693,150,75
CA_C0092,1.87108,0.27121,0.138,150,75
CA_C0093,1.408,0.61694,0.30374,150,75
CA_C0094,2.99578,0.88575,1.28967,150,75
CA_C0095,2.25419,0.58104,0.57289,150,75
CA_C0096,1.81326,0.70436,0.75563,150,75
CA_C0097,2.15183,0.4959,0.34779,150,75
CA_C0098,2.49589,0.50087,0.46133,150,75
CA_C0099,2.52662,0.49881,0.55914,150,75
CA_C0100,2.68534,0.04967,0.03887,150,75
CA_C0101,1.41354,0.25637,0.12286,150,75
CA_C0102,2.99623,0.5616,0.10605,150,75
CA_C0103,2.50719,0.8134,0.16067,150,75
CA_C0104,3.1447,1.29312,0.29327,150,75
CA_C0105,2.33458,1.23098,0.32698,150,75
CA_C0106,3.08141,1.20963,0.34135,150,75
CA_C0107,3.00582,0.68712,0.13712,150,75
CA_C0108,2.83589,0.97595,0.20941,150,75
CA_C0109,3.13475,0.91922,0.19853,150,75
CA_C0110,3.34658,1.60355,0.48008,150,75
CA_C0111,2.92765,0.63206,0.56707,150,75
CA_C0112,2.77518,0.51531,0.36967,150,75
CA_C0113,2.7457,0.07757,0.08084,150,75
CA_C0114,2.56406,0.00129,0.00073,150,75
CA_C0115,3.51646,-1.20069,1.23495,150,75
CA_C0116,3.77142,0.26754,0.15658,150,75
CA_C0117,1.41199,1.345,0.7946,150,75
CA_C0118,1.59055,1.6645,1.50871,150,75
CA_C0119,0.70658,1.38799,0,150,75
CA_C0120,1.45278,1.56726,2.16502,150,75
CA_C0121,1.20631,1.01064,1.07259,150,75
CA_C0122,2.21534,0.0292,0.02477,150,75
CA_C0123,2.00743,-0.23469,0.20859,150,75
CA_C0124,0.49432,0.71274,0,150,75
CA_C0125,2.88236,0.08309,0.11029,150,75
CA_C0126,2.8492,-0.00916,0.00475,150,75
CA_C0127,3.10355,-0.1182,0.14301,150,75
CA_C0128,2.31886,-0.79548,0.70346,150,75
CA_C0129,2.00601,-0.20208,0.17971,150,75
CA_C0130,1.27193,0.24236,0.11175,150,75
CA_C0132,1.31353,0.34662,0.26672,150,75
CA_C0133,1.39723,0.42337,0.32698,150,75
CA_C0134,1.13646,0.06224,0.02508,150,75
CA_C0135,1.109,1.15738,0,150,75
CA_C0136,1.10013,0.1835,0,150,75
CA_C0138,2.78437,0.52879,0.74958,150,75
CA_C0139,2.76521,0.17494,0.21482,150,75
CA_C0140,3.01006,0.10794,0.11175,150,75
CA_C0141,2.9101,0.48053,1.47261,150,75
CA_C0142,0.60436,1.33073,0,150,75
CA_C0143,0.93149,0.16749,0,150,75
