id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.18214,0.00348,BA.15,BA.270
CA_C0002,2.73912,0.08429,4e-05,BA.15,BA.270
CA_C0003,2.08908,0.24303,0.02051,BA.15,BA.270
CA_C0004,2.95263,0.33921,0.03863,BA.15,BA.270
CA_C0005,2.17907,0.34606,0.119,BA.15,BA.270
CA_C0006,3.22819,0.32087,0.17475,BA.15,BA.270
CA_C0007,3.4759,0.34851,0.24795,BA.15,BA.270
CA_C0008,1.3434,0.23255,4e-05,BA.15,BA.270
CA_C0009,2.01886,0.03402,4e-05,BA.15,BA.270
CA_C0010,2.82889,0.12197,4e-05,BA.15,BA.270
CA_C0011,1.77427,0.53057,0.05357,BA.15,BA.270
CA_C0012,2.50812,0.16187,4e-05,BA.15,BA.270
CA_C0013,1.71516,-0.46999,0.08694,BA.15,BA.270
CA_C0014,3.62681,0.88672,0.24391,BA.15,BA.270
CA_C0015,3.77662,0.89324,0.22697,BA.15,BA.270
CA_C0016,3.34755,1.2786,0.57335,BA.15,BA.270
CA_C0017,3.60634,1.11912,0.38225,BA.15,BA.270
CA_C0018,2.55612,1.00103,0.32212,BA.15,BA.270
CA_C0019,1.75569,-0.1719,4e-05,BA.15,BA.270
CA_C0020,1.95133,1.3931,0.65259,BA.15,BA.270
CA_C0021,2.98857,0.1027,4e-05,BA.15,BA.270
CA_C0022,3.03432,-0.31541,0.0452,BA.15,BA.270
CA_C0023,2.07668,-0.34528,0.05819,BA.15,BA.270
CA_C0024,2.84351,0.05924,4e-05,BA.15,BA.270
CA_C0025,1.84108,0.21105,0.00877,BA.15,BA.270
CA_C0026,1.90602,0.11813,4e-05,BA.15,BA.270
CA_C0027,2.36966,0.11129,4e-05,BA.15,BA.270
CA_C0028,3.35378,0.00233,4e-05,BA.15,BA.270
CA_C0029,2.81761,-0.07359,4e-05,BA.15,BA.270
CA_C0030,2.99658,-0.31235,0.05195,BA.15,BA.270
CA_C0031,1.93134,-0.13406,4e-05,BA.15,BA.270
CA_C0032,2.48781,0.05904,4e-05,BA.15,BA.270
CA_C0033,2.58129,-0.05231,4e-05,BA.15,BA.270
CA_C0034,2.59792,-0.09478,4e-05,BA.15,BA.270
CA_C0035,1.36663,-0.1021,4e-05,BA.15,BA.270
CA_C0036,1.21304,0.55794,0,BA.15,BA.270
CA_C0037,1.26714,0.14568,0,BA.15,BA.270
CA_C0038,0.60294,0.53215,0,BA.15,BA.270
CA_C0039,2.04126,0.13302,4e-05,BA.15,BA.270
CA_C0040,1.68744,-0.41115,0.02051,BA.15,BA.270
CA_C0041,1.24435,-0.51698,0,BA.15,BA.270
CA_C0042,1.70139,-0.02062,4e-05,BA.15,BA.270
CA_C0043,1.15865,-0.35732,0,BA.15,BA.270
CA_C0044,0.84178,-0.03516,0,BA.15,BA.270
CA_C0045,1.71951,-0.00711,4e-05,BA.15,BA.270
CA_C0046,1.11285,-0.12701,0,BA.15,BA.270
CA_C0047,1.07374,-0.43902,0,BA.15,BA.270
CA_C0048,1.20641,0.09674,0,BA.15,BA.270
CA_C0049,1.30261,0.00124,4e-05,BA.15,BA.270
CA_C0050,0.72999,-0.40874,0,BA.15,BA.270
CA_C0051,0.60894,-0.36289,0,BA.15,BA.270
CA_C0052,1.84921,0.45554,0.10095,BA.15,BA.270
CA_C0053,1.61557,-0.0255,4e-05,BA.15,BA.270
CA_C0055,1.33388,-0.37085,0.02168,BA.15,BA.270
CA_C0056,2.21775,0.61918,0.06749,BA.15,BA.270
CA_C0057,2.42891,0.30886,0.00272,BA.15,BA.270
CA_C0058,1.77121,0.42707,0.01225,BA.15,BA.270
CA_C0059,1.9806,0.73844,0.09878,BA.15,BA.270
CA_C0060,2.70911,-0.02868,4e-05,BA.15,BA.270
CA_C0061,2.88063,0.29717,0.00796,BA.15,BA.270
CA_C0062,2.18507,0.26813,0.00348,BA.15,BA.270
CA_C0063,3.14422,0.10683,4e-05,BA.15,BA.270
CA_C0064,1.80828,0.10035,4e-05,BA.15,BA.270
CA_C0065,1.96311,-0.22818,4e-05,BA.15,BA.270
CA_C0066,1.85887,-0.15745,4e-05,BA.15,BA.270
CA_C0067,1.57893,0.02435,4e-05,BA.15,BA.270
