id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.2398,0.00041,BA.150,NS.270
CA_C0002,2.73912,-0.12721,0.00041,BA.150,NS.270
CA_C0003,2.08908,-0.19266,0.00041,BA.150,NS.270
CA_C0004,2.95263,-0.143,0.00041,BA.150,NS.270
CA_C0005,2.17907,-0.11238,0.00041,BA.150,NS.270
CA_C0006,3.22819,-0.21886,0.04884,BA.150,NS.270
CA_C0007,3.4759,-0.18532,0.01423,BA.150,NS.270
CA_C0008,1.3434,0.02023,0.00041,BA.150,NS.270
CA_C0009,2.01886,0.00823,0.00041,BA.150,NS.270
CA_C0010,2.82889,0.04411,0.00041,BA.150,NS.270
CA_C0011,1.77427,0.61321,0.09667,BA.150,NS.270
CA_C0012,2.50812,0.41545,0.00041,BA.150,NS.270
CA_C0013,1.71516,0.32,0.00041,BA.150,NS.270
CA_C0014,3.62681,-0.70464,0.19209,BA.150,NS.270
CA_C0015,3.77662,-0.79595,0.28617,BA.150,NS.270
CA_C0016,3.34755,-0.87916,0.28625,BA.150,NS.270
CA_C0017,3.60634,-0.91415,0.3619,BA.150,NS.270
CA_C0018,2.55612,-0.68856,0.15475,BA.150,NS.270
CA_C0019,1.75569,-0.31636,0.00041,BA.150,NS.270
CA_C0020,1.95133,-0.86745,0.24379,BA.150,NS.270
CA_C0021,2.98857,0.07606,0.00041,BA.150,NS.270
CA_C0022,3.03432,-0.02741,0.00041,BA.150,NS.270
CA_C0023,2.07668,0.01272,0.00041,BA.150,NS.270
CA_C0024,2.84351,-0.02967,0.00041,BA.150,NS.270
CA_C0025,1.84108,-0.07007,0.00041,BA.150,NS.270
CA_C0026,1.90602,-0.1239,0.00041,BA.150,NS.270
CA_C0027,2.36966,-0.10274,0.00041,BA.150,NS.270
CA_C0028,3.35378,0.13303,0.00041,BA.150,NS.270
CA_C0029,2.81761,0.24336,0.00041,BA.150,NS.270
CA_C0030,2.99658,0.04445,0.00041,BA.150,NS.270
CA_C0031,1.93134,-0.09371,0.00041,BA.150,NS.270
CA_C0032,2.48781,-0.239,0.10687,BA.150,NS.270
CA_C0033,2.58129,-0.16033,0.00041,BA.150,NS.270
CA_C0034,2.59792,0.01779,0.00041,BA.150,NS.270
CA_C0035,1.36663,0.40831,0.00041,BA.150,NS.270
CA_C0036,1.21304,0.14558,0,BA.150,NS.270
CA_C0037,1.26714,-0.00881,0,BA.150,NS.270
CA_C0038,0.60294,0.09116,0,BA.150,NS.270
CA_C0039,2.04126,-0.00928,0.00041,BA.150,NS.270
CA_C0040,1.68744,0.09914,0.00041,BA.150,NS.270
CA_C0041,1.24435,0.12808,0,BA.150,NS.270
CA_C0042,1.70139,-0.13047,0.00041,BA.150,NS.270
CA_C0043,1.15865,0.26829,0,BA.150,NS.270
CA_C0044,0.84178,0.12512,0,BA.150,NS.270
CA_C0045,1.71951,0.34609,0.00041,BA.150,NS.270
CA_C0046,1.11285,-0.02713,0,BA.150,NS.270
CA_C0047,1.07374,0.2818,0,BA.150,NS.270
CA_C0048,1.20641,-0.07431,0,BA.150,NS.270
CA_C0049,1.30261,-0.15473,0.00041,BA.150,NS.270
CA_C0050,0.72999,0.07202,0,BA.150,NS.270
CA_C0051,0.60894,-0.13092,0,BA.150,NS.270
CA_C0052,1.84921,0.14099,0.00041,BA.150,NS.270
CA_C0053,1.61557,0.14903,0.00041,BA.150,NS.270
CA_C0055,1.33388,-0.21286,0.00041,BA.150,NS.270
CA_C0056,2.21775,0.47703,0.00041,BA.150,NS.270
CA_C0057,2.42891,0.71644,0.14912,BA.150,NS.270
CA_C0058,1.77121,0.55703,0.00041,BA.150,NS.270
CA_C0059,1.9806,0.49367,0.00041,BA.150,NS.270
CA_C0060,2.70911,0.353,0.00041,BA.150,NS.270
CA_C0061,2.88063,0.63836,0.15692,BA.150,NS.270
CA_C0062,2.18507,0.64316,0.18206,BA.150,NS.270
CA_C0063,3.14422,0.64979,0.14912,BA.150,NS.270
CA_C0064,1.80828,0.65922,0.13242,BA.150,NS.270
CA_C0065,1.96311,0.64791,0.0829,BA.150,NS.270
CA_C0066,1.85887,0.52644,0.115,BA.150,NS.270
CA_C0067,1.57893,0.23166,0.00041,BA.150,NS.270
CA_C0068,1.7814,0.03594,0.00041,BA.150,NS.270
CA_C0069,1.48203,-0.13265,0.00041,BA.150,NS.270
CA_C0070,2.06699,0.35839,0.00041,BA.150,NS.270
CA_C0071,1.50736,0.53936,0.03009,BA.150,NS.270
CA_C0072,0.72035,0.06223,0,BA.150,NS.270
CA_C0073,2.27303,-0.23896,0.01516,BA.150,NS.270
CA_C0075,0.89938,0.0622,0,BA.150,NS.270
CA_C0076,2.39367,-0.18022,0.00041,BA.150,NS.270
CA_C0077,1.35518,0.11347,0.00041,BA.150,NS.270
CA_C0078,3.53263,-0.04031,0.00041,BA.150,NS.270
CA_C0079,3.03998,0.05731,0.00041,BA.150,NS.270
CA_C0080,2.55593,-0.05248,0.00041,BA.150,NS.270
CA_C0081,2.08943,-0.1089,0.00041,BA.150,NS.270
CA_C0082,3.75766,0.04062,0.00041,BA.150,NS.270
CA_C0083,2.933,-0.09086,0.00041,BA.150,NS.270
CA_C0084,2.70511,-0.33117,0.00041,BA.150,NS.270
CA_C0085,1.45251,-0.36182,0.00041,BA.150,NS.270
CA_C0086,1.55059,-0.06798,0.00041,BA.150,NS.270
CA_C0087,2.27665,0.13955,0.00041,BA.150,NS.270
CA_C0088,2.33705,0.15614,0.00041,BA.150,NS.270
CA_C0089,2.52584,0.1754,0.00041,BA.150,NS.270
CA_C0090,2.63943,-0.03303,0.00041,BA.150,NS.270
CA_C0091,4.03471,-0.69024,0.1869,BA.150,NS.270
CA_C0092,1.87108,-0.63151,0.11884,BA.150,NS.270
CA_C0093,1.408,-0.21742,0.00041,BA.150,NS.270
CA_C0094,2.99578,0.18083,0.00041,BA.150,NS.270
CA_C0095,2.25419,0.09308,0.00041,BA.150,NS.270
CA_C0096,1.81326,-0.00621,0.00041,BA.150,NS.270
CA_C0097,2.15183,0.16206,0.00041,BA.150,NS.270
CA_C0098,2.49589,-0.07942,0.00041,BA.150,NS.270
CA_C0099,2.52662,-0.23223,0.00041,BA.150,NS.270
CA_C0100,2.68534,-0.05801,0.00041,BA.150,NS.270
CA_C0101,1.41354,0.17544,0.00041,BA.150,NS.270
CA_C0102,2.99623,-0.01837,0.00041,BA.150,NS.270
CA_C0103,2.50719,0.05135,0.00041,BA.150,NS.270
CA_C0104,3.1447,0.13129,0.00041,BA.150,NS.270
CA_C0105,2.33458,0.16094,0.00041,BA.150,NS.270
CA_C0106,3.08141,0.23226,0.00041,BA.150,NS.270
CA_C0107,3.00582,0.2026,0.00041,BA.150,NS.270
CA_C0108,2.83589,0.20418,0.00041,BA.150,NS.270
CA_C0109,3.13475,0.21137,0.00041,BA.150,NS.270
CA_C0110,3.34658,0.18109,0.00041,BA.150,NS.270
CA_C0111,2.92765,0.06653,0.00041,BA.150,NS.270
CA_C0112,2.77518,0.0642,0.00041,BA.150,NS.270
CA_C0113,2.7457,-0.12711,0.00041,BA.150,NS.270
CA_C0114,2.56406,-0.14634,0.00041,BA.150,NS.270
CA_C0115,3.51646,-0.19849,0.00041,BA.150,NS.270
CA_C0116,3.77142,-0.65815,0.20528,BA.150,NS.270
CA_C0117,1.41199,-0.86169,0.12727,BA.150,NS.270
CA_C0118,1.59055,-1.00013,0.28625,BA.150,NS.270
CA_C0119,0.70658,-0.09309,0,BA.150,NS.270
CA_C0120,1.45278,-0.18128,0.00041,BA.150,NS.270
CA_C0121,1.20631,-0.21989,0,BA.150,NS.270
CA_C0122,2.21534,-0.12968,0.00041,BA.150,NS.270
CA_C0123,2.00743,-0.05549,0.00041,BA.150,NS.270
CA_C0124,0.49432,0.19135,0,BA.150,NS.270
CA_C0125,2.88236,-0.17386,0.00041,BA.150,NS.270
CA_C0126,2.8492,-0.18081,0.00041,BA.150,NS.270
CA_C0127,3.10355,-0.08551,0.00041,BA.150,NS.270
CA_C0128,2.31886,0.14429,0.00041,BA.150,NS.270
CA_C0129,2.00601,-0.29125,0.00041,BA.150,NS.270
CA_C0130,1.27193,0.34869,0,BA.150,NS.270
CA_C0132,1.31353,0.30262,0.00041,BA.150,NS.270
CA_C0133,1.39723,0.2732,0.00041,BA.150,NS.270
CA_C0134,1.13646,0.28644,0,BA.150,NS.270
CA_C0135,1.109,-0.22657,0,BA.150,NS.270
CA_C0136,1.10013,-0.12233,0,BA.150,NS.270
CA_C0138,2.78437,-0.13555,0.00041,BA.150,NS.270
CA_C0139,2.76521,-0.02377,0.00041,BA.150,NS.270
CA_C0140,3.01006,-0.15837,0.00041,BA.150,NS.270
CA_C0141,2.9101,-0.15673,0.00041,BA.150,NS.270
CA_C0142,0.60436,-0.42279,0,BA.150,NS.270
CA_C0143,0.93149,0.55525,0,BA.150,NS.270
CA_C0144,1.94424,-0.11775,0.00041,BA.150,NS.270
CA_C0145,2.14887,-0.19054,0.00041,BA.150,NS.270
CA_C0146,2.81009,-0.10125,0.00041,BA.150,NS.270
CA_C0147,2.8953,-0.07146,0.00041,BA.150,NS.270
CA_C0148,2.48472,0.14795,0.00041,BA.150,NS.270
CA_C0149,1.98643,-0.05797,0.00041,BA.150,NS.270
CA_C0150,2.09312,-0.15541,0.00041,BA.150,NS.270
CA_C0151,2.19867,-0.01311,0.00041,BA.150,NS.270
CA_C0152,2.549,-0.20317,0.00041,BA.150,NS.270
CA_C0153,1.94426,-0.04543,0.00041,BA.150,NS.270
CA_C0154,1.07168,0.30543,0,BA.150,NS.270
CA_C0155,1.06541,0.60531,0,BA.150,NS.270
CA_C0156,0.67787,0.22669,0,BA.150,NS.270
CA_C0157,0.83027,0.33332,0,BA.150,NS.270
CA_C0158,3.13918,0.29621,0.00149,BA.150,NS.270
CA_C0159,2.12575,0.4458,0.0112,BA.150,NS.270
CA_C0160,2.00351,0.2699,0.00041,BA.150,NS.270
CA_C0161,1.21767,-0.36598,0,BA.150,NS.270
CA_C0162,2.13202,0.10868,0.00041,BA.150,NS.270
CA_C0164,1.9415,0.18378,0.00041,BA.150,NS.270
CA_C0165,2.00445,0.35592,0.04833,BA.150,NS.270
CA_C0166,1.08451,0.35612,0,BA.150,NS.270
CA_C0167,2.20462,0.1859,0.00041,BA.150,NS.270
