id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.3582,0.0034,BA.75,BuOH.75
CA_C0002,2.73912,0.27185,0,BA.75,BuOH.75
CA_C0003,2.08908,0.00324,0,BA.75,BuOH.75
CA_C0004,2.95263,0.06252,0.0034,BA.75,BuOH.75
CA_C0005,2.17907,0.02013,0,BA.75,BuOH.75
CA_C0006,3.22819,0.02846,0.0034,BA.75,BuOH.75
CA_C0007,3.4759,0.05873,0.0034,BA.75,BuOH.75
CA_C0008,1.3434,-0.15491,0,BA.75,BuOH.75
CA_C0009,2.01886,-0.07144,0,BA.75,BuOH.75
CA_C0010,2.82889,0.17136,0,BA.75,BuOH.75
CA_C0011,1.77427,0.00582,0,BA.75,BuOH.75
CA_C0012,2.50812,-0.21712,0,BA.75,BuOH.75
CA_C0013,1.71516,-0.08541,0,BA.75,BuOH.75
CA_C0014,3.62681,0.27213,0.0034,BA.75,BuOH.75
CA_C0015,3.77662,0.1444,0.0034,BA.75,BuOH.75
CA_C0016,3.34755,0.20883,0.0034,BA.75,BuOH.75
CA_C0017,3.60634,0.18116,0.0034,BA.75,BuOH.75
CA_C0018,2.55612,0.4768,0,BA.75,BuOH.75
CA_C0019,1.75569,0.16,0,BA.75,BuOH.75
CA_C0020,1.95133,0.72621,0,BA.75,BuOH.75
CA_C0021,2.98857,-0.11874,0.0034,BA.75,BuOH.75
CA_C0022,3.03432,-0.1723,0.0034,BA.75,BuOH.75
CA_C0023,2.07668,-0.06367,0,BA.75,BuOH.75
CA_C0024,2.84351,0.51212,0,BA.75,BuOH.75
CA_C0025,1.84108,-0.11989,0,BA.75,BuOH.75
CA_C0026,1.90602,-0.14165,0,BA.75,BuOH.75
CA_C0027,2.36966,-0.21532,0,BA.75,BuOH.75
CA_C0028,3.35378,0.04548,0.0034,BA.75,BuOH.75
CA_C0029,2.81761,-0.30456,0,BA.75,BuOH.75
CA_C0030,2.99658,-0.2095,0.0034,BA.75,BuOH.75
CA_C0031,1.93134,-0.12732,0,BA.75,BuOH.75
CA_C0032,2.48781,0.10535,0,BA.75,BuOH.75
CA_C0033,2.58129,0.199,0,BA.75,BuOH.75
CA_C0034,2.59792,-0.29667,0,BA.75,BuOH.75
CA_C0035,1.36663,-0.45646,0,BA.75,BuOH.75
CA_C0036,1.21304,-0.42188,0,BA.75,BuOH.75
CA_C0037,1.26714,0.04736,0,BA.75,BuOH.75
CA_C0038,0.60294,-0.60855,0,BA.75,BuOH.75
CA_C0039,2.04126,-0.17794,0,BA.75,BuOH.75
CA_C0040,1.68744,0.06084,0,BA.75,BuOH.75
CA_C0041,1.24435,-0.34419,0,BA.75,BuOH.75
CA_C0042,1.70139,-0.40443,0,BA.75,BuOH.75
CA_C0043,1.15865,-0.31946,0,BA.75,BuOH.75
CA_C0044,0.84178,-0.65462,0,BA.75,BuOH.75
CA_C0045,1.71951,-0.18871,0,BA.75,BuOH.75
CA_C0046,1.11285,-0.02808,0,BA.75,BuOH.75
CA_C0047,1.07374,-0.22955,0,BA.75,BuOH.75
CA_C0048,1.20641,-0.34545,0,BA.75,BuOH.75
CA_C0049,1.30261,-0.5004,0,BA.75,BuOH.75
CA_C0050,0.72999,0.56825,0,BA.75,BuOH.75
CA_C0051,0.60894,-0.27621,0,BA.75,BuOH.75
CA_C0052,1.84921,0.29706,0,BA.75,BuOH.75
CA_C0053,1.61557,0.34883,0,BA.75,BuOH.75
