id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.47301,1.7465,BA,NS
CA_C0002,2.73912,0.21601,0.40559,BA,NS
CA_C0003,2.08908,0.52211,1.96034,BA,NS
CA_C0004,2.95263,0.30983,0.702,BA,NS
CA_C0005,2.17907,-0.06261,0.12807,BA,NS
CA_C0006,3.22819,-0.04298,0.10826,BA,NS
CA_C0007,3.4759,0.33271,2.26571,BA,NS
CA_C0008,1.3434,-1.27471,3.38888,BA,NS
CA_C0009,2.01886,0.12859,0.26806,BA,NS
CA_C0010,2.82889,-0.23022,0.60549,BA,NS
CA_C0011,1.77427,0.54289,0.80539,BA,NS
CA_C0012,2.50812,1.02176,2.12652,BA,NS
CA_C0013,1.71516,1.01943,4.0943,BA,NS
CA_C0014,3.62681,0.45533,0.66188,BA,NS
CA_C0015,3.77662,0.48645,0.69756,BA,NS
CA_C0016,3.34755,0.48399,0.57059,BA,NS
CA_C0017,3.60634,0.06617,0.04847,BA,NS
CA_C0018,2.55612,0.33149,0.388,BA,NS
CA_C0019,1.75569,0.71768,1.38538,BA,NS
CA_C0020,1.95133,1.21563,2.3616,BA,NS
CA_C0021,2.98857,-0.89082,7.54446,BA,NS
CA_C0022,3.03432,0.0314,0.04405,BA,NS
CA_C0023,2.07668,0.32539,0.83053,BA,NS
CA_C0024,2.84351,-0.86567,2.88359,BA,NS
CA_C0025,1.84108,-0.89567,5.20767,BA,NS
CA_C0026,1.90602,-0.59484,2.09823,BA,NS
CA_C0027,2.36966,-0.49213,1.7788,BA,NS
CA_C0028,3.35378,-1.28861,8.20533,BA,NS
CA_C0029,2.81761,0.3249,0.69498,BA,NS
CA_C0030,2.99658,0.17347,0.37735,BA,NS
CA_C0031,1.93134,-0.2681,0.54256,BA,NS
CA_C0032,2.48781,-0.23008,1.18069,BA,NS
CA_C0033,2.58129,0.26278,0.6677,BA,NS
CA_C0034,2.59792,0.971,3.36048,BA,NS
CA_C0035,1.36663,-0.14534,0.08499,BA,NS
CA_C0036,1.21304,-0.49752,0.9854,BA,NS
CA_C0037,1.26714,-0.66697,1.44536,BA,NS
CA_C0038,0.60294,0.21475,0.10399,BA,NS
CA_C0039,2.04126,-1.05169,9.29473,BA,NS
CA_C0040,1.68744,-0.57732,0.87136,BA,NS
CA_C0041,1.24435,0.61069,0.94654,BA,NS
CA_C0042,1.70139,0.72843,1.60382,BA,NS
CA_C0043,1.15865,0.8054,1.16196,BA,NS
CA_C0044,0.84178,0.62939,0.64971,BA,NS
CA_C0045,1.71951,0.74892,1.21455,BA,NS
CA_C0046,1.11285,0.80215,0.92244,BA,NS
CA_C0047,1.07374,0.76083,1.06959,BA,NS
CA_C0048,1.20641,0.69508,0.60683,BA,NS
CA_C0049,1.30261,0.1526,0.1084,BA,NS
CA_C0050,0.72999,0.337,0.21898,BA,NS
CA_C0051,0.60894,-0.25201,0.15562,BA,NS
CA_C0052,1.84921,0.34197,0.85183,BA,NS
CA_C0053,1.61557,0.1866,0.3197,BA,NS
CA_C0055,1.33388,-0.33956,0.4836,BA,NS
CA_C0056,2.21775,-0.11703,0.08447,BA,NS
CA_C0057,2.42891,-0.03755,0.02709,BA,NS
CA_C0058,1.77121,0.36235,0.2924,BA,NS
CA_C0059,1.9806,0.14217,0.11131,BA,NS
CA_C0060,2.70911,0.20211,0.23722,BA,NS
CA_C0061,2.88063,0.0331,0.02825,BA,NS
CA_C0062,2.18507,-0.11075,0.11344,BA,NS
CA_C0063,3.14422,0.354,0.47036,BA,NS
CA_C0064,1.80828,0.30766,0.35275,BA,NS
CA_C0065,1.96311,0.40399,0.45154,BA,NS
CA_C0066,1.85887,0.14606,0.18177,BA,NS
CA_C0067,1.57893,-0.33511,0.48736,BA,NS
CA_C0068,1.7814,-0.70522,1.72388,BA,NS
CA_C0069,1.48203,-0.85033,2.08868,BA,NS
CA_C0070,2.06699,0.1256,0.14014,BA,NS
CA_C0071,1.50736,-0.48807,0.6742,BA,NS
CA_C0072,0.72035,-0.70141,0.39263,BA,NS
CA_C0073,2.27303,-0.1743,0.51211,BA,NS
CA_C0075,0.89938,-0.00376,0.00199,BA,NS
CA_C0076,2.39367,-0.17896,0.30987,BA,NS
CA_C0077,1.35518,-0.96984,2.09693,BA,NS
CA_C0078,3.53263,-0.44691,1.28119,BA,NS
CA_C0079,3.03998,-0.59357,1.56353,BA,NS
CA_C0080,2.55593,0.29266,0.95856,BA,NS
CA_C0081,2.08943,0.42604,1.48746,BA,NS
CA_C0082,3.75766,-0.18012,0.65767,BA,NS
CA_C0083,2.933,-0.10174,0.17401,BA,NS
CA_C0084,2.70511,-0.07996,0.10338,BA,NS
CA_C0085,1.45251,-1.27944,3.23047,BA,NS
CA_C0086,1.55059,0.11146,0.12854,BA,NS
CA_C0087,2.27665,0.02404,0.04288,BA,NS
CA_C0088,2.33705,0.64643,1.67366,BA,NS
CA_C0089,2.52584,0.58261,3.53419,BA,NS
CA_C0090,2.63943,0.31084,1.12084,BA,NS
CA_C0091,4.03471,-0.73388,1.48107,BA,NS
CA_C0092,1.87108,-0.79337,1.54259,BA,NS
CA_C0093,1.408,0.53081,0.57074,BA,NS
CA_C0094,2.99578,0.66233,1.62776,BA,NS
CA_C0095,2.25419,0.18709,0.23598,BA,NS
CA_C0096,1.81326,0.2129,0.27309,BA,NS
CA_C0097,2.15183,0.497,0.78803,BA,NS
CA_C0098,2.49589,0.14665,0.17546,BA,NS
CA_C0099,2.52662,-0.0674,0.07738,BA,NS
CA_C0100,2.68534,-0.18293,0.40912,BA,NS
CA_C0101,1.41354,-0.82908,1.60382,BA,NS
CA_C0102,2.99623,-0.23124,0.07416,BA,NS
CA_C0103,2.50719,0.22836,0.07334,BA,NS
CA_C0104,3.1447,0.30618,0.09747,BA,NS
CA_C0105,2.33458,0.33423,0.12426,BA,NS
CA_C0106,3.08141,0.04652,0.01496,BA,NS
CA_C0107,3.00582,-0.53078,0.21914,BA,NS
CA_C0108,2.83589,-0.65379,0.27698,BA,NS
CA_C0109,3.13475,-0.35515,0.12807,BA,NS
CA_C0110,3.34658,0.03696,0.01125,BA,NS
CA_C0111,2.92765,-0.93082,2.42424,BA,NS
CA_C0112,2.77518,-1.34203,4.43047,BA,NS
CA_C0113,2.7457,0.17159,0.48493,BA,NS
CA_C0114,2.56406,-0.03771,0.0508,BA,NS
CA_C0115,3.51646,-0.2287,0.20663,BA,NS
CA_C0116,3.77142,-0.54026,1.01604,BA,NS
CA_C0117,1.41199,-1.45171,1.91925,BA,NS
CA_C0118,1.59055,-1.14691,1.6261,BA,NS
CA_C0119,0.70658,-0.28567,0.1651,BA,NS
CA_C0120,1.45278,0.2984,0.32015,BA,NS
CA_C0121,1.20631,0.13633,0.11912,BA,NS
CA_C0122,2.21534,0.31962,1.13757,BA,NS
CA_C0123,2.00743,0.02127,0.02685,BA,NS
CA_C0124,0.49432,-1.67692,1.52817,BA,NS
CA_C0125,2.88236,0.32358,1.92758,BA,NS
CA_C0126,2.8492,0.40162,0.92101,BA,NS
CA_C0127,3.10355,-0.19454,0.66486,BA,NS
CA_C0128,2.31886,-0.46556,0.64178,BA,NS
CA_C0129,2.00601,-0.27342,0.62891,BA,NS
CA_C0130,1.27193,-0.27152,0.29063,BA,NS
CA_C0132,1.31353,0.17692,0.24194,BA,NS
CA_C0133,1.39723,0.63841,1.44536,BA,NS
CA_C0134,1.13646,0.15162,0.14468,BA,NS
CA_C0135,1.109,1.12168,1.62372,BA,NS
CA_C0136,1.10013,0.67449,1.08193,BA,NS
CA_C0138,2.78437,0.94469,4.71228,BA,NS
CA_C0139,2.76521,0.79346,6.68202,BA,NS
CA_C0140,3.01006,0.62201,4.01836,BA,NS
CA_C0141,2.9101,1.02932,13.87561,BA,NS
CA_C0142,0.60436,0.25649,0.1341,BA,NS
CA_C0143,0.93149,-0.48955,0.24837,BA,NS
CA_C0144,1.94424,0.96376,4.04065,BA,NS
CA_C0145,2.14887,0.2358,0.63462,BA,NS
CA_C0146,2.81009,-0.21131,0.30727,BA,NS
CA_C0147,2.8953,-0.19908,0.45844,BA,NS
CA_C0148,2.48472,1.07693,4.52346,BA,NS
CA_C0149,1.98643,-0.96282,0.94454,BA,NS
CA_C0150,2.09312,0.66394,3.33984,BA,NS
CA_C0151,2.19867,0.45273,1.12238,BA,NS
CA_C0152,2.549,-0.53228,0.89367,BA,NS
CA_C0153,1.94426,-0.55628,1.24298,BA,NS
CA_C0154,1.07168,-0.29556,0.25746,BA,NS
CA_C0155,1.06541,0.11865,0.06353,BA,NS
CA_C0156,0.67787,0.6187,0.39659,BA,NS
CA_C0157,0.83027,0.01851,0.00842,BA,NS
CA_C0158,3.13918,-1.2461,9.976,BA,NS
CA_C0159,2.12575,0.90369,2.28321,BA,NS
CA_C0160,2.00351,0.45221,0.94621,BA,NS
CA_C0161,1.21767,0.68072,1.5404,BA,NS
CA_C0162,2.13202,1.06486,4.10433,BA,NS
CA_C0164,1.9415,-0.16963,0.27763,BA,NS
CA_C0165,2.00445,-0.43631,1.36644,BA,NS
CA_C0166,1.08451,-0.60186,0.6075,BA,NS
CA_C0167,2.20462,-0.04646,0.07146,BA,NS
CA_C0168,2.04626,-0.85581,4.81822,BA,NS
CA_C0169,0.95002,-0.68122,0.87136,BA,NS
CA_C0170,0.90466,-1.12523,1.98466,BA,NS
CA_C0171,1.23455,-0.68218,1.80706,BA,NS
CA_C0172,0.87949,-1.20806,1.72132,BA,NS
CA_C0173,1.81387,0.39739,0.73391,BA,NS
CA_C0174,2.09641,0.62811,1.91087,BA,NS
CA_C0175,2.13426,0.44655,0.6089,BA,NS
CA_C0176,2.307,-0.21244,0.69377,BA,NS
CA_C0177,1.90687,-0.56952,1.95797,BA,NS
CA_C0178,2.3469,0.10516,0.21561,BA,NS
CA_C0179,2.40171,0.32268,0.83547,BA,NS
CA_C0180,2.46652,0.338,0.86704,BA,NS
CA_C0181,2.48667,0.37919,1.28651,BA,NS
CA_C0182,2.33309,0.96338,5.87725,BA,NS
CA_C0183,2.02134,1.39774,6.42298,BA,NS
CA_C0184,2.02153,1.11439,6.13109,BA,NS
CA_C0185,2.20022,0.63059,3.19737,BA,NS
CA_C0186,2.34198,0.99689,3.25208,BA,NS
CA_C0187,1.96592,-0.17447,0.18897,BA,NS
CA_C0188,2.11751,-0.17372,0.21569,BA,NS
CA_C0189,2.04872,-0.22946,0.35321,BA,NS
CA_C0190,2.06983,1.32476,4.29088,BA,NS
CA_C0191,1.79252,0.11661,0.12337,BA,NS
CA_C0192,2.32769,0.62189,1.64276,BA,NS
CA_C0193,2.46799,0.02797,0.03147,BA,NS
CA_C0194,2.42024,0.42578,1.22707,BA,NS
CA_C0195,1.21854,0.42542,0.63689,BA,NS
CA_C0196,2.88838,0.71595,3.24201,BA,NS
CA_C0197,1.88102,0.32104,0.39224,BA,NS
CA_C0198,2.22666,0.28451,0.35323,BA,NS
CA_C0200,1.44431,-0.73776,1.95116,BA,NS
CA_C0201,1.72711,0.05224,0.04747,BA,NS
CA_C0202,2.16816,-0.48793,0.81077,BA,NS
CA_C0203,1.87846,0.03352,0.0508,BA,NS
CA_C0204,1.65662,-0.09283,0.10492,BA,NS
CA_C0205,2.28269,-0.35437,0.70855,BA,NS
CA_C0206,1.11641,-0.81188,1.88937,BA,NS
