id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.49822,0.00771,BuOH.150,BuOH.15
CA_C0002,2.73912,0.17156,0.00771,BuOH.150,BuOH.15
CA_C0003,2.08908,-0.2111,0.00771,BuOH.150,BuOH.15
CA_C0004,2.95263,-0.13475,0.00771,BuOH.150,BuOH.15
CA_C0005,2.17907,-0.04212,0.00262,BuOH.150,BuOH.15
CA_C0006,3.22819,0.11333,0.00771,BuOH.150,BuOH.15
CA_C0007,3.4759,-0.04159,0.00326,BuOH.150,BuOH.15
CA_C0008,1.3434,-0.05022,0.00142,BuOH.150,BuOH.15
CA_C0009,2.01886,-0.12003,0.00771,BuOH.150,BuOH.15
CA_C0010,2.82889,0.04105,0.00262,BuOH.150,BuOH.15
CA_C0011,1.77427,-0.65708,0.00771,BuOH.150,BuOH.15
CA_C0012,2.50812,-0.70933,0.00771,BuOH.150,BuOH.15
CA_C0013,1.71516,-0.49638,0.00771,BuOH.150,BuOH.15
CA_C0014,3.62681,0.81576,0.00771,BuOH.150,BuOH.15
CA_C0015,3.77662,0.77129,0.00771,BuOH.150,BuOH.15
CA_C0016,3.34755,0.63521,0.00771,BuOH.150,BuOH.15
CA_C0017,3.60634,0.90148,0.00771,BuOH.150,BuOH.15
CA_C0018,2.55612,0.83748,0.00771,BuOH.150,BuOH.15
CA_C0019,1.75569,-0.00997,0.00015,BuOH.150,BuOH.15
CA_C0020,1.95133,0.78984,0.00771,BuOH.150,BuOH.15
CA_C0021,2.98857,0.11686,0.00771,BuOH.150,BuOH.15
CA_C0022,3.03432,0.14711,0.00771,BuOH.150,BuOH.15
CA_C0023,2.07668,-0.14928,0.00771,BuOH.150,BuOH.15
CA_C0024,2.84351,0.30881,0.00771,BuOH.150,BuOH.15
CA_C0025,1.84108,-0.03488,0.00222,BuOH.150,BuOH.15
CA_C0026,1.90602,-0.18771,0.00771,BuOH.150,BuOH.15
CA_C0027,2.36966,0.00981,0.00015,BuOH.150,BuOH.15
CA_C0028,3.35378,0.30065,0.00771,BuOH.150,BuOH.15
CA_C0029,2.81761,-0.43043,0.00771,BuOH.150,BuOH.15
CA_C0030,2.99658,-0.17795,0.00771,BuOH.150,BuOH.15
CA_C0031,1.93134,0.17994,0.00771,BuOH.150,BuOH.15
CA_C0032,2.48781,0.1837,0.00771,BuOH.150,BuOH.15
CA_C0033,2.58129,0.39664,0.00771,BuOH.150,BuOH.15
CA_C0034,2.59792,-0.17245,0.00771,BuOH.150,BuOH.15
CA_C0035,1.36663,-0.39435,0.00771,BuOH.150,BuOH.15
CA_C0036,1.21304,-0.17689,0.00771,BuOH.150,BuOH.15
