id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.13628,0.01732,BuOH.270,BA.150
CA_C0002,2.73912,0.12411,0.00752,BuOH.270,BA.150
CA_C0003,2.08908,0.25201,0.03813,BuOH.270,BA.150
CA_C0004,2.95263,0.07733,0.00642,BuOH.270,BA.150
CA_C0005,2.17907,-0.00048,0.00017,BuOH.270,BA.150
CA_C0006,3.22819,-0.06413,0.00752,BuOH.270,BA.150
CA_C0007,3.4759,-0.01185,0.00051,BuOH.270,BA.150
CA_C0008,1.3434,-0.05953,0.00274,BuOH.270,BA.150
CA_C0009,2.01886,-0.05459,0.00274,BuOH.270,BA.150
CA_C0010,2.82889,-0.00609,0.00039,BuOH.270,BA.150
CA_C0011,1.77427,0.32502,0.01978,BuOH.270,BA.150
CA_C0012,2.50812,-0.07378,0.00274,BuOH.270,BA.150
CA_C0013,1.71516,-0.27384,0.02745,BuOH.270,BA.150
CA_C0014,3.62681,-0.2031,0.012,BuOH.270,BA.150
CA_C0015,3.77662,-0.10741,0.00428,BuOH.270,BA.150
CA_C0016,3.34755,-0.16304,0.00752,BuOH.270,BA.150
CA_C0017,3.60634,-0.09995,0.00274,BuOH.270,BA.150
CA_C0018,2.55612,-0.05438,0.00234,BuOH.270,BA.150
CA_C0019,1.75569,-0.1933,0.00974,BuOH.270,BA.150
CA_C0020,1.95133,0.08626,0.00274,BuOH.270,BA.150
CA_C0021,2.98857,0.16632,0.01816,BuOH.270,BA.150
CA_C0022,3.03432,-0.41567,0.27708,BuOH.270,BA.150
CA_C0023,2.07668,-0.2046,0.01816,BuOH.270,BA.150
CA_C0024,2.84351,0.07734,0.00274,BuOH.270,BA.150
CA_C0025,1.84108,0.16398,0.01732,BuOH.270,BA.150
CA_C0026,1.90602,0.33927,0.10453,BuOH.270,BA.150
CA_C0027,2.36966,0.23648,0.02885,BuOH.270,BA.150
CA_C0028,3.35378,-0.05279,0.00274,BuOH.270,BA.150
CA_C0029,2.81761,-0.2631,0.02885,BuOH.270,BA.150
CA_C0030,2.99658,-0.30106,0.10859,BuOH.270,BA.150
CA_C0031,1.93134,-0.08419,0.00644,BuOH.270,BA.150
CA_C0032,2.48781,0.02991,0.00274,BuOH.270,BA.150
CA_C0033,2.58129,-0.27581,0.06475,BuOH.270,BA.150
CA_C0034,2.59792,-0.3736,0.06415,BuOH.270,BA.150
CA_C0035,1.36663,0.37974,0.01732,BuOH.270,BA.150
CA_C0036,1.21304,0.60898,0.34998,BuOH.270,BA.150
CA_C0037,1.26714,0.75921,0.52633,BuOH.270,BA.150
CA_C0038,0.60294,0.60142,0,BuOH.270,BA.150
CA_C0039,2.04126,0.54553,0.74443,BuOH.270,BA.150
CA_C0040,1.68744,0.3256,0.01846,BuOH.270,BA.150
CA_C0041,1.24435,0.1639,0.00752,BuOH.270,BA.150
CA_C0042,1.70139,0.13565,0.00752,BuOH.270,BA.150
CA_C0043,1.15865,0.02776,0.00041,BuOH.270,BA.150
CA_C0044,0.84178,-0.27065,0.01732,BuOH.270,BA.150
CA_C0045,1.71951,0.27055,0.01732,BuOH.270,BA.150
CA_C0046,1.11285,0.24892,0.01,BuOH.270,BA.150
CA_C0047,1.07374,-0.29923,0.01732,BuOH.270,BA.150
CA_C0048,1.20641,0.13656,0.00386,BuOH.270,BA.150
CA_C0049,1.30261,-0.02803,0.00041,BuOH.270,BA.150
CA_C0050,0.72999,0.09275,0.00274,BuOH.270,BA.150
CA_C0051,0.60894,0.26404,0.00974,BuOH.270,BA.150
CA_C0052,1.84921,0.33741,0.11067,BuOH.270,BA.150
CA_C0053,1.61557,-0.11659,0.00752,BuOH.270,BA.150
CA_C0055,1.33388,-0.17625,0.00922,BuOH.270,BA.150
CA_C0056,2.21775,0.89533,0.46825,BuOH.270,BA.150
CA_C0057,2.42891,1.06648,0.81498,BuOH.270,BA.150
CA_C0058,1.77121,1.20208,0.76313,BuOH.270,BA.150
CA_C0059,1.9806,0.97567,0.62664,BuOH.270,BA.150
CA_C0060,2.70911,0.67701,0.37453,BuOH.270,BA.150
CA_C0061,2.88063,1.05963,1.06126,BuOH.270,BA.150
CA_C0062,2.18507,1.11155,1.26693,BuOH.270,BA.150
CA_C0063,3.14422,1.06426,0.99406,BuOH.270,BA.150
CA_C0064,1.80828,1.09832,0.96738,BuOH.270,BA.150
CA_C0065,1.96311,1.02833,0.73097,BuOH.270,BA.150
CA_C0066,1.85887,0.49244,0.17625,BuOH.270,BA.150
CA_C0067,1.57893,0.21888,0.01732,BuOH.270,BA.150
