id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.28217,0.00213,BuOH.75,NS.270
CA_C0002,2.73912,-0.10638,0.00213,BuOH.75,NS.270
CA_C0003,2.08908,0.08348,0,BuOH.75,NS.270
CA_C0004,2.95263,-0.13153,0.00213,BuOH.75,NS.270
CA_C0005,2.17907,-0.11629,0,BuOH.75,NS.270
CA_C0006,3.22819,-0.16223,0.00213,BuOH.75,NS.270
CA_C0007,3.4759,-0.17202,0.00213,BuOH.75,NS.270
CA_C0008,1.3434,-0.03202,0,BuOH.75,NS.270
CA_C0009,2.01886,0.04533,0,BuOH.75,NS.270
CA_C0010,2.82889,-0.15478,0.00213,BuOH.75,NS.270
CA_C0011,1.77427,0.16678,0,BuOH.75,NS.270
CA_C0012,2.50812,0.10652,0,BuOH.75,NS.270
CA_C0013,1.71516,0.06624,0,BuOH.75,NS.270
CA_C0014,3.62681,-0.7745,0.3888,BuOH.75,NS.270
CA_C0015,3.77662,-0.63676,0.14746,BuOH.75,NS.270
CA_C0016,3.34755,-0.86554,0.3888,BuOH.75,NS.270
CA_C0017,3.60634,-0.7489,0.24367,BuOH.75,NS.270
CA_C0018,2.55612,-0.85934,0,BuOH.75,NS.270
CA_C0019,1.75569,-0.23195,0,BuOH.75,NS.270
CA_C0020,1.95133,-1.07809,0,BuOH.75,NS.270
CA_C0021,2.98857,0.16324,0.00213,BuOH.75,NS.270
CA_C0022,3.03432,-0.11711,0.00213,BuOH.75,NS.270
CA_C0023,2.07668,0.02194,0,BuOH.75,NS.270
CA_C0024,2.84351,-0.34651,0.00213,BuOH.75,NS.270
CA_C0025,1.84108,0.12094,0,BuOH.75,NS.270
CA_C0026,1.90602,0.32301,0,BuOH.75,NS.270
CA_C0027,2.36966,0.27829,0,BuOH.75,NS.270
CA_C0028,3.35378,-0.05154,0.00213,BuOH.75,NS.270
CA_C0029,2.81761,0.0784,0.00213,BuOH.75,NS.270
CA_C0030,2.99658,0.0866,0.00213,BuOH.75,NS.270
CA_C0031,1.93134,0.02553,0,BuOH.75,NS.270
CA_C0032,2.48781,-0.11824,0,BuOH.75,NS.270
CA_C0033,2.58129,-0.32277,0,BuOH.75,NS.270
CA_C0034,2.59792,-0.02806,0,BuOH.75,NS.270
CA_C0035,1.36663,0.6673,0,BuOH.75,NS.270
CA_C0036,1.21304,0.65031,0,BuOH.75,NS.270
CA_C0037,1.26714,0.4374,0,BuOH.75,NS.270
CA_C0038,0.60294,0.72906,0,BuOH.75,NS.270
CA_C0039,2.04126,0.48121,0,BuOH.75,NS.270
CA_C0040,1.68744,0.22872,0,BuOH.75,NS.270
CA_C0041,1.24435,0.59795,0,BuOH.75,NS.270
CA_C0042,1.70139,0.42464,0,BuOH.75,NS.270
CA_C0043,1.15865,0.50268,0,BuOH.75,NS.270
CA_C0044,0.84178,0.30025,0,BuOH.75,NS.270
CA_C0045,1.71951,0.3898,0,BuOH.75,NS.270
CA_C0046,1.11285,0.22966,0,BuOH.75,NS.270
CA_C0047,1.07374,0.17375,0,BuOH.75,NS.270
CA_C0048,1.20641,0.28742,0,BuOH.75,NS.270
CA_C0049,1.30261,0.2841,0,BuOH.75,NS.270
CA_C0050,0.72999,-0.30793,0,BuOH.75,NS.270
CA_C0051,0.60894,0.42393,0,BuOH.75,NS.270
CA_C0052,1.84921,-0.07553,0,BuOH.75,NS.270
CA_C0053,1.61557,-0.26599,0,BuOH.75,NS.270
CA_C0055,1.33388,-0.0197,0,BuOH.75,NS.270
CA_C0056,2.21775,0.33831,0,BuOH.75,NS.270
CA_C0057,2.42891,0.64131,0,BuOH.75,NS.270
CA_C0058,1.77121,0.6459,0,BuOH.75,NS.270
CA_C0059,1.9806,0.41207,0,BuOH.75,NS.270
CA_C0060,2.70911,0.36042,0.00213,BuOH.75,NS.270
CA_C0061,2.88063,0.42047,0.00213,BuOH.75,NS.270
CA_C0062,2.18507,0.57152,0,BuOH.75,NS.270
CA_C0063,3.14422,0.47335,0.00213,BuOH.75,NS.270
CA_C0064,1.80828,0.60214,0,BuOH.75,NS.270
CA_C0065,1.96311,0.80368,0,BuOH.75,NS.270
CA_C0066,1.85887,0.69351,0,BuOH.75,NS.270
CA_C0067,1.57893,0.18595,0,BuOH.75,NS.270
CA_C0068,1.7814,0.16363,0,BuOH.75,NS.270
CA_C0069,1.48203,0.11583,0,BuOH.75,NS.270
CA_C0070,2.06699,0.35606,0,BuOH.75,NS.270
CA_C0071,1.50736,0.50006,0,BuOH.75,NS.270
CA_C0072,0.72035,0.2367,0,BuOH.75,NS.270
CA_C0073,2.27303,-0.21545,0,BuOH.75,NS.270
CA_C0075,0.89938,-0.20266,0,BuOH.75,NS.270
CA_C0076,2.39367,-0.45459,0,BuOH.75,NS.270
CA_C0077,1.35518,-0.12509,0,BuOH.75,NS.270
CA_C0078,3.53263,-0.0185,0.00213,BuOH.75,NS.270
CA_C0079,3.03998,0.13524,0.00213,BuOH.75,NS.270
CA_C0080,2.55593,-0.28661,0,BuOH.75,NS.270
CA_C0081,2.08943,0.01003,0,BuOH.75,NS.270
CA_C0082,3.75766,0.08789,0.00213,BuOH.75,NS.270
CA_C0083,2.933,-0.01627,0.00213,BuOH.75,NS.270
CA_C0084,2.70511,-0.39761,0.02307,BuOH.75,NS.270
CA_C0085,1.45251,-0.5127,0,BuOH.75,NS.270
CA_C0086,1.55059,-0.1959,0,BuOH.75,NS.270
CA_C0087,2.27665,-0.01269,0,BuOH.75,NS.270
CA_C0088,2.33705,0.17197,0,BuOH.75,NS.270
CA_C0089,2.52584,0.12764,0,BuOH.75,NS.270
