id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.06237,0.08964,BuOH,BA
CA_C0002,2.73912,-0.38345,0.9172,BuOH,BA
CA_C0003,2.08908,-0.44227,1.44847,BuOH,BA
CA_C0004,2.95263,-0.12263,0.1751,BuOH,BA
CA_C0005,2.17907,-0.1378,0.34027,BuOH,BA
CA_C0006,3.22819,-0.20983,0.91794,BuOH,BA
CA_C0007,3.4759,-0.27664,1.56832,BuOH,BA
CA_C0008,1.3434,1.15049,2.78635,BuOH,BA
CA_C0009,2.01886,0.53751,2.60533,BuOH,BA
CA_C0010,2.82889,0.1689,0.35888,BuOH,BA
CA_C0011,1.77427,0.46876,0.6255,BuOH,BA
CA_C0012,2.50812,-0.20728,0.17524,BuOH,BA
CA_C0013,1.71516,-0.20703,0.30474,BuOH,BA
CA_C0014,3.62681,-0.9477,2.16558,BuOH,BA
CA_C0015,3.77662,-0.78563,1.45245,BuOH,BA
CA_C0016,3.34755,-0.88495,1.42651,BuOH,BA
CA_C0017,3.60634,-0.60447,0.81776,BuOH,BA
CA_C0018,2.55612,-0.95989,2.03395,BuOH,BA
CA_C0019,1.75569,-0.65101,1.14656,BuOH,BA
CA_C0020,1.95133,-2.33716,7.83151,BuOH,BA
CA_C0021,2.98857,0.88664,7.36818,BuOH,BA
CA_C0022,3.03432,0.28731,0.70167,BuOH,BA
CA_C0023,2.07668,0.3388,0.86794,BuOH,BA
CA_C0024,2.84351,1.05426,4.05889,BuOH,BA
CA_C0025,1.84108,0.88952,5.14845,BuOH,BA
CA_C0026,1.90602,0.7339,3.08995,BuOH,BA
CA_C0027,2.36966,0.68252,3.18987,BuOH,BA
CA_C0028,3.35378,0.96793,4.57095,BuOH,BA
CA_C0029,2.81761,-0.02662,0.02692,BuOH,BA
CA_C0030,2.99658,-0.16442,0.3262,BuOH,BA
CA_C0031,1.93134,0.13164,0.18644,BuOH,BA
CA_C0032,2.48781,0.45026,3.86062,BuOH,BA
CA_C0033,2.58129,-0.25306,0.59491,BuOH,BA
CA_C0034,2.59792,0.21637,0.28451,BuOH,BA
CA_C0035,1.36663,0.58639,0.51142,BuOH,BA
CA_C0036,1.21304,0.10365,0.10382,BuOH,BA
CA_C0037,1.26714,-0.09672,0.08665,BuOH,BA
CA_C0038,0.60294,0.02552,0.01034,BuOH,BA
CA_C0039,2.04126,0.11993,0.22589,BuOH,BA
CA_C0040,1.68744,1.02234,2.28944,BuOH,BA
CA_C0041,1.24435,-0.82461,1.5461,BuOH,BA
CA_C0042,1.70139,-0.93977,2.50334,BuOH,BA
CA_C0043,1.15865,-0.84192,1.24742,BuOH,BA
CA_C0044,0.84178,-0.52609,0.49539,BuOH,BA
CA_C0045,1.71951,-0.89905,1.60917,BuOH,BA
CA_C0046,1.11285,-0.79278,0.89414,BuOH,BA
CA_C0047,1.07374,-0.57876,0.69157,BuOH,BA
CA_C0048,1.20641,-0.82117,0.75336,BuOH,BA
CA_C0049,1.30261,0.04003,0.02276,BuOH,BA
CA_C0050,0.72999,0.43665,0.32419,BuOH,BA
CA_C0051,0.60894,0.05827,0.02654,BuOH,BA
CA_C0052,1.84921,-0.07996,0.10925,BuOH,BA
CA_C0053,1.61557,0.09092,0.12226,BuOH,BA
CA_C0055,1.33388,0.32631,0.43788,BuOH,BA
CA_C0056,2.21775,-0.3853,0.36275,BuOH,BA
CA_C0057,2.42891,-0.69167,1.0175,BuOH,BA
CA_C0058,1.77121,-0.69344,0.72145,BuOH,BA
CA_C0059,1.9806,-0.34944,0.33527,BuOH,BA
CA_C0060,2.70911,-0.14501,0.14141,BuOH,BA
CA_C0061,2.88063,-0.84978,1.96578,BuOH,BA
CA_C0062,2.18507,-0.61942,1.22784,BuOH,BA
CA_C0063,3.14422,-1.10484,2.97705,BuOH,BA
CA_C0064,1.80828,-0.61755,0.96566,BuOH,BA
CA_C0065,1.96311,-0.46424,0.52715,BuOH,BA
CA_C0066,1.85887,-0.29687,0.45758,BuOH,BA
CA_C0067,1.57893,-0.27048,0.33132,BuOH,BA
CA_C0068,1.7814,0.16127,0.17469,BuOH,BA
CA_C0069,1.48203,0.73097,1.56028,BuOH,BA
CA_C0070,2.06699,-0.49831,0.91994,BuOH,BA
CA_C0071,1.50736,0.08608,0.06431,BuOH,BA
CA_C0072,0.72035,-0.75963,0.38569,BuOH,BA
CA_C0073,2.27303,0.22627,0.73033,BuOH,BA
CA_C0075,0.89938,-1.20281,1.70761,BuOH,BA
CA_C0076,2.39367,0.23171,0.41887,BuOH,BA
CA_C0077,1.35518,0.65307,1.0175,BuOH,BA
CA_C0078,3.53263,0.41108,1.06447,BuOH,BA
CA_C0079,3.03998,0.51309,1.17498,BuOH,BA
CA_C0080,2.55593,-0.26226,0.76998,BuOH,BA
CA_C0081,2.08943,-0.33018,0.94374,BuOH,BA
CA_C0082,3.75766,0.3111,1.52489,BuOH,BA
CA_C0083,2.933,0.12314,0.20464,BuOH,BA
CA_C0084,2.70511,0.43173,1.0129,BuOH,BA
CA_C0085,1.45251,1.1725,2.7265,BuOH,BA
CA_C0086,1.55059,-0.19301,0.24701,BuOH,BA
CA_C0087,2.27665,-0.05377,0.09824,BuOH,BA
CA_C0088,2.33705,-0.65948,1.68176,BuOH,BA
CA_C0089,2.52584,-0.74349,5.5435,BuOH,BA
CA_C0090,2.63943,-0.52153,2.68421,BuOH,BA
CA_C0091,4.03471,1.23427,3.6468,BuOH,BA
CA_C0092,1.87108,0.84432,1.66247,BuOH,BA
CA_C0093,1.408,-0.87235,1.19587,BuOH,BA
CA_C0094,2.99578,-0.86394,2.55173,BuOH,BA
CA_C0095,2.25419,-0.32117,0.4678,BuOH,BA
CA_C0096,1.81326,-0.48147,0.86269,BuOH,BA
CA_C0097,2.15183,-0.53203,0.83573,BuOH,BA
CA_C0098,2.49589,-0.45744,0.83573,BuOH,BA
CA_C0099,2.52662,-0.32857,0.59101,BuOH,BA
CA_C0100,2.68534,-0.2539,0.62238,BuOH,BA
CA_C0101,1.41354,0.77909,1.41795,BuOH,BA
CA_C0102,2.99623,-0.52124,0.18491,BuOH,BA
CA_C0103,2.50719,-0.73166,0.29468,BuOH,BA
CA_C0104,3.1447,-0.96594,0.40938,BuOH,BA
CA_C0105,2.33458,-1.05432,0.54999,BuOH,BA
CA_C0106,3.08141,-0.75666,0.36149,BuOH,BA
CA_C0107,3.00582,-0.68873,0.28652,BuOH,BA
CA_C0108,2.83589,-0.65403,0.25787,BuOH,BA
CA_C0109,3.13475,-0.59993,0.23073,BuOH,BA
CA_C0110,3.34658,-0.5158,0.19027,BuOH,BA
CA_C0111,2.92765,0.60566,1.10566,BuOH,BA
CA_C0112,2.77518,1.01728,2.5848,BuOH,BA
CA_C0113,2.7457,-0.06131,0.11318,BuOH,BA
CA_C0114,2.56406,-0.15886,0.2751,BuOH,BA
CA_C0115,3.51646,0.23334,0.19307,BuOH,BA
CA_C0116,3.77142,0.1406,0.13892,BuOH,BA
CA_C0117,1.41199,0.63594,0.46847,BuOH,BA
CA_C0118,1.59055,0.38804,0.28318,BuOH,BA
CA_C0119,0.70658,-0.04428,0.01954,BuOH,BA
CA_C0120,1.45278,-0.19501,0.17086,BuOH,BA
CA_C0121,1.20631,0.0619,0.04536,BuOH,BA
CA_C0122,2.21534,0.318,1.12387,BuOH,BA
CA_C0123,2.00743,0.36109,0.90105,BuOH,BA
CA_C0124,0.49432,0.83662,0.46481,BuOH,BA
CA_C0125,2.88236,-0.14126,0.47876,BuOH,BA
CA_C0126,2.8492,0.40935,0.90189,BuOH,BA
CA_C0127,3.10355,0.24616,0.91204,BuOH,BA
CA_C0128,2.31886,0.9441,2.00078,BuOH,BA
CA_C0129,2.00601,0.368,0.96484,BuOH,BA
CA_C0130,1.27193,-0.33932,0.36797,BuOH,BA
CA_C0132,1.31353,0.08289,0.0915,BuOH,BA
CA_C0133,1.39723,-0.1848,0.223,BuOH,BA
CA_C0134,1.13646,-0.05794,0.04429,BuOH,BA
CA_C0135,1.109,0.11565,0.07236,BuOH,BA
CA_C0136,1.10013,0.35878,0.44549,BuOH,BA
CA_C0138,2.78437,-0.3813,0.90713,BuOH,BA
CA_C0139,2.76521,-0.84859,7.50794,BuOH,BA
CA_C0140,3.01006,-0.84395,7.10839,BuOH,BA
CA_C0141,2.9101,-0.88041,10.00418,BuOH,BA
CA_C0142,0.60436,-1.46368,1.44505,BuOH,BA
CA_C0143,0.93149,-0.68403,0.35572,BuOH,BA
CA_C0144,1.94424,-0.42277,0.94767,BuOH,BA
CA_C0145,2.14887,0.01615,0.02252,BuOH,BA
CA_C0146,2.81009,0.07161,0.07253,BuOH,BA
CA_C0147,2.8953,0.40005,1.31204,BuOH,BA
CA_C0148,2.48472,-0.69061,1.95976,BuOH,BA
CA_C0149,1.98643,1.32344,1.54433,BuOH,BA
CA_C0150,2.09312,-0.32069,0.92444,BuOH,BA
CA_C0151,2.19867,-0.56914,1.58552,BuOH,BA
CA_C0152,2.549,1.12937,3.21991,BuOH,BA
CA_C0153,1.94426,0.95161,3.20386,BuOH,BA
CA_C0154,1.07168,0.07603,0.04536,BuOH,BA
CA_C0155,1.06541,-0.37449,0.2428,BuOH,BA
CA_C0156,0.67787,-0.61578,0.38533,BuOH,BA
CA_C0157,0.83027,0.06732,0.02906,BuOH,BA
CA_C0158,3.13918,0.71247,3.30351,BuOH,BA
CA_C0159,2.12575,-0.16411,0.16146,BuOH,BA
CA_C0160,2.00351,-0.21744,0.30123,BuOH,BA
CA_C0161,1.21767,-1.02582,3.23597,BuOH,BA
CA_C0162,2.13202,-0.63311,1.56743,BuOH,BA
CA_C0164,1.9415,0.03591,0.03872,BuOH,BA
CA_C0165,2.00445,0.13658,0.22361,BuOH,BA
CA_C0166,1.08451,-0.07303,0.03765,BuOH,BA
CA_C0167,2.20462,0.31315,0.89482,BuOH,BA
CA_C0168,2.04626,0.50134,1.7457,BuOH,BA
CA_C0169,0.95002,0.10243,0.06431,BuOH,BA
CA_C0170,0.90466,0.0777,0.0446,BuOH,BA
CA_C0171,1.23455,0.40627,0.7489,BuOH,BA
CA_C0172,0.87949,0.46752,0.3568,BuOH,BA
CA_C0173,1.81387,-0.72373,1.91804,BuOH,BA
CA_C0174,2.09641,-0.67527,2.14343,BuOH,BA
CA_C0175,2.13426,-0.3126,0.34027,BuOH,BA
CA_C0176,2.307,-0.3276,1.33139,BuOH,BA
CA_C0177,1.90687,-0.00402,0.00432,BuOH,BA
CA_C0178,2.3469,-0.29192,0.88546,BuOH,BA
CA_C0179,2.40171,-0.55675,2.02006,BuOH,BA
CA_C0180,2.46652,-0.64313,2.52421,BuOH,BA
CA_C0181,2.48667,-0.81853,5.02005,BuOH,BA
CA_C0182,2.33309,-1.09265,7.46278,BuOH,BA
CA_C0183,2.02134,-1.27159,5.32981,BuOH,BA
CA_C0184,2.02153,-0.97829,4.79341,BuOH,BA
CA_C0185,2.20022,-0.71236,3.96422,BuOH,BA
CA_C0186,2.34198,-0.90484,2.67506,BuOH,BA
CA_C0187,1.96592,-0.73496,1.50337,BuOH,BA
CA_C0188,2.11751,-0.71694,1.72473,BuOH,BA
CA_C0189,2.04872,-0.33442,0.57244,BuOH,BA
CA_C0190,2.06983,-1.31661,4.16672,BuOH,BA
CA_C0191,1.79252,-0.24932,0.31083,BuOH,BA
CA_C0192,2.32769,-0.51859,1.17232,BuOH,BA
CA_C0193,2.46799,0.13044,0.16696,BuOH,BA
CA_C0194,2.42024,-0.276,0.58457,BuOH,BA
CA_C0195,1.21854,0.0447,0.03594,BuOH,BA
CA_C0196,2.88838,0.06437,0.08616,BuOH,BA
CA_C0197,1.88102,-0.14813,0.13064,BuOH,BA
CA_C0198,2.22666,-0.01946,0.01529,BuOH,BA
