id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.41064,1.06318,BuOH,NS
CA_C0002,2.73912,-0.16744,0.21092,BuOH,NS
CA_C0003,2.08908,0.07984,0.09634,BuOH,NS
CA_C0004,2.95263,0.1872,0.2548,BuOH,NS
CA_C0005,2.17907,-0.2004,0.47751,BuOH,NS
CA_C0006,3.22819,-0.2528,1.02051,BuOH,NS
CA_C0007,3.4759,0.05607,0.12017,BuOH,NS
CA_C0008,1.3434,-0.12423,0.0876,BuOH,NS
CA_C0009,2.01886,0.6661,3.15952,BuOH,NS
CA_C0010,2.82889,-0.06132,0.08117,BuOH,NS
CA_C0011,1.77427,1.01166,1.86651,BuOH,NS
CA_C0012,2.50812,0.81448,1.11262,BuOH,NS
CA_C0013,1.71516,0.8124,2.19393,BuOH,NS
CA_C0014,3.62681,-0.49238,0.57778,BuOH,NS
CA_C0015,3.77662,-0.29918,0.26002,BuOH,NS
CA_C0016,3.34755,-0.40096,0.32895,BuOH,NS
CA_C0017,3.60634,-0.5383,0.55737,BuOH,NS
CA_C0018,2.55612,-0.62839,0.78938,BuOH,NS
CA_C0019,1.75569,0.06667,0.04296,BuOH,NS
CA_C0020,1.95133,-1.12152,1.58817,BuOH,NS
CA_C0021,2.98857,-0.00418,0.00483,BuOH,NS
CA_C0022,3.03432,0.3187,0.67888,BuOH,NS
CA_C0023,2.07668,0.66418,2.32955,BuOH,NS
CA_C0024,2.84351,0.18859,0.19439,BuOH,NS
CA_C0025,1.84108,-0.00615,0.0061,BuOH,NS
CA_C0026,1.90602,0.13905,0.17507,BuOH,NS
CA_C0027,2.36966,0.19039,0.30905,BuOH,NS
CA_C0028,3.35378,-0.32068,0.5376,BuOH,NS
CA_C0029,2.81761,0.29828,0.46708,BuOH,NS
CA_C0030,2.99658,0.00906,0.00963,BuOH,NS
CA_C0031,1.93134,-0.13646,0.16027,BuOH,NS
CA_C0032,2.48781,0.22018,0.86252,BuOH,NS
CA_C0033,2.58129,0.00973,0.00991,BuOH,NS
CA_C0034,2.59792,1.18737,4.12381,BuOH,NS
CA_C0035,1.36663,0.44105,0.27087,BuOH,NS
CA_C0036,1.21304,-0.39386,0.54567,BuOH,NS
CA_C0037,1.26714,-0.7637,1.47922,BuOH,NS
CA_C0038,0.60294,0.24027,0.09418,BuOH,NS
CA_C0039,2.04126,-0.93176,6.55224,BuOH,NS
CA_C0040,1.68744,0.44502,0.45962,BuOH,NS
CA_C0041,1.24435,-0.21392,0.15273,BuOH,NS
CA_C0042,1.70139,-0.21134,0.18014,BuOH,NS
CA_C0043,1.15865,-0.03652,0.01841,BuOH,NS
CA_C0044,0.84178,0.1033,0.04768,BuOH,NS
CA_C0045,1.71951,-0.15013,0.09511,BuOH,NS
CA_C0046,1.11285,0.00937,0.00347,BuOH,NS
CA_C0047,1.07374,0.18207,0.10474,BuOH,NS
CA_C0048,1.20641,-0.12609,0.0512,BuOH,NS
CA_C0049,1.30261,0.19263,0.10892,BuOH,NS
CA_C0050,0.72999,0.77365,0.57419,BuOH,NS
CA_C0051,0.60894,-0.19374,0.09064,BuOH,NS
CA_C0052,1.84921,0.26201,0.43549,BuOH,NS
CA_C0053,1.61557,0.27751,0.44078,BuOH,NS
CA_C0055,1.33388,-0.01325,0.00855,BuOH,NS
CA_C0056,2.21775,-0.50233,0.43724,BuOH,NS
CA_C0057,2.42891,-0.72922,0.89777,BuOH,NS
CA_C0058,1.77121,-0.33109,0.19155,BuOH,NS
CA_C0059,1.9806,-0.20727,0.1327,BuOH,NS
CA_C0060,2.70911,0.0571,0.0406,BuOH,NS
CA_C0061,2.88063,-0.81668,1.50307,BuOH,NS
CA_C0062,2.18507,-0.73016,1.31832,BuOH,NS
CA_C0063,3.14422,-0.75084,1.19698,BuOH,NS
CA_C0064,1.80828,-0.30989,0.26566,BuOH,NS
CA_C0065,1.96311,-0.06025,0.03418,BuOH,NS
CA_C0066,1.85887,-0.15081,0.14312,BuOH,NS
CA_C0067,1.57893,-0.60559,0.92931,BuOH,NS
CA_C0068,1.7814,-0.54394,0.86698,BuOH,NS
CA_C0069,1.48203,-0.11936,0.09511,BuOH,NS
CA_C0070,2.06699,-0.37271,0.46841,BuOH,NS
CA_C0071,1.50736,-0.402,0.38366,BuOH,NS
CA_C0072,0.72035,-1.46104,0.88091,BuOH,NS
CA_C0073,2.27303,0.05196,0.08165,BuOH,NS
CA_C0075,0.89938,-1.20657,1.37529,BuOH,NS
CA_C0076,2.39367,0.05275,0.05369,BuOH,NS
CA_C0077,1.35518,-0.31677,0.28338,BuOH,NS
CA_C0078,3.53263,-0.03583,0.03563,BuOH,NS
