id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.07603,3e-05,NS.270,BA.75
CA_C0002,2.73912,-0.16547,3e-05,NS.270,BA.75
CA_C0003,2.08908,-0.08672,3e-05,NS.270,BA.75
CA_C0004,2.95263,0.06901,3e-05,NS.270,BA.75
CA_C0005,2.17907,0.09616,3e-05,NS.270,BA.75
CA_C0006,3.22819,0.13377,3e-05,NS.270,BA.75
CA_C0007,3.4759,0.11329,3e-05,NS.270,BA.75
CA_C0008,1.3434,0.18693,3e-05,NS.270,BA.75
CA_C0009,2.01886,0.02611,3e-05,NS.270,BA.75
CA_C0010,2.82889,-0.01658,3e-05,NS.270,BA.75
CA_C0011,1.77427,-0.1726,3e-05,NS.270,BA.75
CA_C0012,2.50812,0.1106,3e-05,NS.270,BA.75
CA_C0013,1.71516,0.01917,3e-05,NS.270,BA.75
CA_C0014,3.62681,0.50237,3e-05,NS.270,BA.75
CA_C0015,3.77662,0.49235,3e-05,NS.270,BA.75
CA_C0016,3.34755,0.65671,3e-05,NS.270,BA.75
CA_C0017,3.60634,0.56774,3e-05,NS.270,BA.75
CA_C0018,2.55612,0.38253,3e-05,NS.270,BA.75
CA_C0019,1.75569,0.07196,3e-05,NS.270,BA.75
CA_C0020,1.95133,0.35188,3e-05,NS.270,BA.75
CA_C0021,2.98857,-0.04451,3e-05,NS.270,BA.75
CA_C0022,3.03432,0.28941,3e-05,NS.270,BA.75
CA_C0023,2.07668,0.04174,3e-05,NS.270,BA.75
CA_C0024,2.84351,-0.16561,3e-05,NS.270,BA.75
CA_C0025,1.84108,-0.00105,3e-05,NS.270,BA.75
CA_C0026,1.90602,-0.18136,3e-05,NS.270,BA.75
CA_C0027,2.36966,-0.06297,3e-05,NS.270,BA.75
CA_C0028,3.35378,0.00605,3e-05,NS.270,BA.75
CA_C0029,2.81761,0.22616,3e-05,NS.270,BA.75
CA_C0030,2.99658,0.1229,3e-05,NS.270,BA.75
CA_C0031,1.93134,0.10178,3e-05,NS.270,BA.75
CA_C0032,2.48781,0.01289,3e-05,NS.270,BA.75
CA_C0033,2.58129,0.12377,3e-05,NS.270,BA.75
CA_C0034,2.59792,0.32473,3e-05,NS.270,BA.75
CA_C0035,1.36663,-0.21084,3e-05,NS.270,BA.75
CA_C0036,1.21304,-0.22843,3e-05,NS.270,BA.75
CA_C0037,1.26714,-0.48476,3e-05,NS.270,BA.75
CA_C0038,0.60294,-0.12051,3e-05,NS.270,BA.75
CA_C0039,2.04126,-0.30327,3e-05,NS.270,BA.75
CA_C0040,1.68744,-0.28956,3e-05,NS.270,BA.75
CA_C0041,1.24435,-0.25375,3e-05,NS.270,BA.75
CA_C0042,1.70139,-0.02021,3e-05,NS.270,BA.75
CA_C0043,1.15865,-0.18321,3e-05,NS.270,BA.75
CA_C0044,0.84178,0.35437,3e-05,NS.270,BA.75
CA_C0045,1.71951,-0.20109,3e-05,NS.270,BA.75
CA_C0046,1.11285,-0.20158,3e-05,NS.270,BA.75
CA_C0047,1.07374,0.05581,3e-05,NS.270,BA.75
CA_C0048,1.20641,0.05803,3e-05,NS.270,BA.75
CA_C0049,1.30261,0.21631,3e-05,NS.270,BA.75
CA_C0050,0.72999,-0.26032,3e-05,NS.270,BA.75
CA_C0051,0.60894,-0.14772,3e-05,NS.270,BA.75
CA_C0052,1.84921,-0.22153,3e-05,NS.270,BA.75
CA_C0053,1.61557,-0.08284,3e-05,NS.270,BA.75
CA_C0055,1.33388,-0.02205,3e-05,NS.270,BA.75
CA_C0056,2.21775,-0.19621,3e-05,NS.270,BA.75
CA_C0057,2.42891,-0.46256,3e-05,NS.270,BA.75
CA_C0058,1.77121,-0.51003,3e-05,NS.270,BA.75
CA_C0059,1.9806,-0.17236,3e-05,NS.270,BA.75
CA_C0060,2.70911,-0.3634,3e-05,NS.270,BA.75
CA_C0061,2.88063,-0.57389,3e-05,NS.270,BA.75
CA_C0062,2.18507,-0.63164,3e-05,NS.270,BA.75
CA_C0063,3.14422,-0.66943,3e-05,NS.270,BA.75
CA_C0064,1.80828,-0.69154,3e-05,NS.270,BA.75
CA_C0065,1.96311,-0.55627,3e-05,NS.270,BA.75
CA_C0066,1.85887,-0.27767,3e-05,NS.270,BA.75
CA_C0067,1.57893,-0.06971,3e-05,NS.270,BA.75
CA_C0068,1.7814,-0.25256,3e-05,NS.270,BA.75
CA_C0069,1.48203,-0.12089,3e-05,NS.270,BA.75
CA_C0070,2.06699,-0.50918,3e-05,NS.270,BA.75
CA_C0071,1.50736,-0.39708,3e-05,NS.270,BA.75
CA_C0072,0.72035,0.03417,3e-05,NS.270,BA.75
CA_C0073,2.27303,0.1586,3e-05,NS.270,BA.75
CA_C0075,0.89938,-0.10465,3e-05,NS.270,BA.75
CA_C0076,2.39367,-0.13645,3e-05,NS.270,BA.75
CA_C0077,1.35518,0.18466,3e-05,NS.270,BA.75
CA_C0078,3.53263,0.31321,3e-05,NS.270,BA.75
CA_C0079,3.03998,0.28445,3e-05,NS.270,BA.75
CA_C0080,2.55593,-0.18136,3e-05,NS.270,BA.75
CA_C0081,2.08943,-0.1889,3e-05,NS.270,BA.75
CA_C0082,3.75766,0.21755,3e-05,NS.270,BA.75
CA_C0083,2.933,0.07809,3e-05,NS.270,BA.75
CA_C0084,2.70511,0.02054,3e-05,NS.270,BA.75
CA_C0085,1.45251,0.36384,3e-05,NS.270,BA.75
CA_C0086,1.55059,-0.28557,3e-05,NS.270,BA.75
CA_C0087,2.27665,0.00591,3e-05,NS.270,BA.75
