id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,0.13181,0.03083,NS.270,NS.75
CA_C0002,2.73912,0.25157,0.06541,NS.270,NS.75
CA_C0003,2.08908,0.19773,0.05237,NS.270,NS.75
CA_C0004,2.95263,0.18738,0.04398,NS.270,NS.75
CA_C0005,2.17907,0.33227,0.24988,NS.270,NS.75
CA_C0006,3.22819,0.5053,1.27521,NS.270,NS.75
CA_C0007,3.4759,0.38086,0.7252,NS.270,NS.75
CA_C0008,1.3434,-0.00285,8e-04,NS.270,NS.75
CA_C0009,2.01886,0.18212,0.05237,NS.270,NS.75
CA_C0010,2.82889,0.02147,0.00259,NS.270,NS.75
CA_C0011,1.77427,-0.49819,0.11626,NS.270,NS.75
CA_C0012,2.50812,-0.32857,0.05237,NS.270,NS.75
CA_C0013,1.71516,-0.34502,0.08152,NS.270,NS.75
CA_C0014,3.62681,0.96014,0.6415,NS.270,NS.75
CA_C0015,3.77662,0.98325,0.64049,NS.270,NS.75
CA_C0016,3.34755,1.21217,0.84588,NS.270,NS.75
CA_C0017,3.60634,1.17618,0.86061,NS.270,NS.75
CA_C0018,2.55612,0.87638,0.46007,NS.270,NS.75
CA_C0019,1.75569,0.38498,0.0707,NS.270,NS.75
CA_C0020,1.95133,1.16751,0.66404,NS.270,NS.75
CA_C0021,2.98857,-0.1842,0.06228,NS.270,NS.75
CA_C0022,3.03432,-0.02469,0.00309,NS.270,NS.75
CA_C0023,2.07668,-0.0052,0.00111,NS.270,NS.75
CA_C0024,2.84351,-0.03003,0.00259,NS.270,NS.75
CA_C0025,1.84108,0.05376,0.00571,NS.270,NS.75
CA_C0026,1.90602,0.12207,0.02043,NS.270,NS.75
CA_C0027,2.36966,0.04731,0.00545,NS.270,NS.75
CA_C0028,3.35378,-0.10416,0.01571,NS.270,NS.75
CA_C0029,2.81761,-0.17285,0.03501,NS.270,NS.75
CA_C0030,2.99658,0.14776,0.03505,NS.270,NS.75
CA_C0031,1.93134,-0.03752,0.0032,NS.270,NS.75
CA_C0032,2.48781,0.20672,0.14958,NS.270,NS.75
CA_C0033,2.58129,0.35737,0.19246,NS.270,NS.75
CA_C0034,2.59792,0.11283,0.01218,NS.270,NS.75
CA_C0035,1.36663,-0.71003,0.15719,NS.270,NS.75
CA_C0036,1.21304,0.01278,0.00139,NS.270,NS.75
CA_C0037,1.26714,-0.39753,0.08654,NS.270,NS.75
CA_C0038,0.60294,-0.11375,0,NS.270,NS.75
CA_C0039,2.04126,-0.18431,0.055,NS.270,NS.75
CA_C0040,1.68744,-0.78979,0.34649,NS.270,NS.75
CA_C0041,1.24435,-0.22846,0.0264,NS.270,NS.75
CA_C0042,1.70139,0.23132,0.03446,NS.270,NS.75
CA_C0043,1.15865,-0.06263,0.0032,NS.270,NS.75
CA_C0044,0.84178,-0.01446,0.00139,NS.270,NS.75
CA_C0045,1.71951,-0.45029,0.07877,NS.270,NS.75
CA_C0046,1.11285,-0.16455,0.00974,NS.270,NS.75
CA_C0047,1.07374,-0.15129,0.00974,NS.270,NS.75
CA_C0048,1.20641,-0.01326,0.00139,NS.270,NS.75
CA_C0049,1.30261,0.06099,0.0032,NS.270,NS.75
CA_C0050,0.72999,-0.65692,0.10525,NS.270,NS.75
CA_C0051,0.60894,-0.34657,0.03501,NS.270,NS.75
CA_C0052,1.84921,-0.06368,0.00571,NS.270,NS.75
CA_C0053,1.61557,0.02914,0.00299,NS.270,NS.75
CA_C0055,1.33388,0.32885,0.05807,NS.270,NS.75
CA_C0056,2.21775,-1.64217,1.50952,NS.270,NS.75
CA_C0057,2.42891,-2.01232,2.85068,NS.270,NS.75
CA_C0058,1.77121,-1.87981,1.57491,NS.270,NS.75
CA_C0059,1.9806,-1.71544,1.66907,NS.270,NS.75
CA_C0060,2.70911,-1.33472,1.55015,NS.270,NS.75
CA_C0061,2.88063,-1.83514,3.12087,NS.270,NS.75
CA_C0062,2.18507,-1.74594,3.02581,NS.270,NS.75
CA_C0063,3.14422,-1.86056,3.03398,NS.270,NS.75
CA_C0064,1.80828,-1.80225,2.37546,NS.270,NS.75
CA_C0065,1.96311,-2.20455,3.17957,NS.270,NS.75
CA_C0066,1.85887,-1.11641,1.28952,NS.270,NS.75
CA_C0067,1.57893,-0.60728,0.24674,NS.270,NS.75
CA_C0068,1.7814,-0.43256,0.12321,NS.270,NS.75
CA_C0069,1.48203,-0.19451,0.02589,NS.270,NS.75
CA_C0070,2.06699,-0.92926,0.78558,NS.270,NS.75
CA_C0071,1.50736,-1.56966,1.57861,NS.270,NS.75
CA_C0072,0.72035,-0.92813,0.1866,NS.270,NS.75
CA_C0073,2.27303,0.26628,0.15704,NS.270,NS.75
CA_C0075,0.89938,-0.54789,0.08463,NS.270,NS.75
CA_C0076,2.39367,0.07245,0.00571,NS.270,NS.75
CA_C0077,1.35518,-0.31752,0.04828,NS.270,NS.75
CA_C0078,3.53263,0.12112,0.02146,NS.270,NS.75
CA_C0079,3.03998,0.30498,0.07515,NS.270,NS.75
CA_C0080,2.55593,-0.05816,0.00571,NS.270,NS.75
CA_C0081,2.08943,0.05602,0.00571,NS.270,NS.75
CA_C0082,3.75766,-0.00355,0.00139,NS.270,NS.75
CA_C0083,2.933,0.0732,0.00816,NS.270,NS.75
