id,Logexp,foldchange,pval,condition,control
CA_C0001,2.99363,-0.34827,0.2651,NS.75,BuOH.150
CA_C0002,2.73912,-0.26378,0.11577,NS.75,BuOH.150
CA_C0003,2.08908,-0.00243,0.00151,NS.75,BuOH.150
CA_C0004,2.95263,0.04005,0.00998,NS.75,BuOH.150
CA_C0005,2.17907,-0.0626,0.02194,NS.75,BuOH.150
CA_C0006,3.22819,-0.25029,0.32509,NS.75,BuOH.150
CA_C0007,3.4759,-0.10068,0.06291,NS.75,BuOH.150
CA_C0008,1.3434,0.13605,0.02411,NS.75,BuOH.150
CA_C0009,2.01886,-0.01447,0.00323,NS.75,BuOH.150
CA_C0010,2.82889,0.00603,0.00203,NS.75,BuOH.150
CA_C0011,1.77427,0.8204,0.48751,NS.75,BuOH.150
CA_C0012,2.50812,0.69068,0.34718,NS.75,BuOH.150
CA_C0013,1.71516,0.38773,0.192,NS.75,BuOH.150
CA_C0014,3.62681,-0.71694,0.41133,NS.75,BuOH.150
CA_C0015,3.77662,-0.72986,0.4052,NS.75,BuOH.150
CA_C0016,3.34755,-0.66005,0.28561,NS.75,BuOH.150
CA_C0017,3.60634,-0.84566,0.46413,NS.75,BuOH.150
CA_C0018,2.55612,-0.68309,0.36016,NS.75,BuOH.150
CA_C0019,1.75569,-0.29179,0.07633,NS.75,BuOH.150
CA_C0020,1.95133,-0.75919,0.34859,NS.75,BuOH.150
CA_C0021,2.98857,0.06729,0.02241,NS.75,BuOH.150
CA_C0022,3.03432,-0.0747,0.02051,NS.75,BuOH.150
CA_C0023,2.07668,0.00435,0.00183,NS.75,BuOH.150
CA_C0024,2.84351,-0.17329,0.0466,NS.75,BuOH.150
CA_C0025,1.84108,0.02545,0.00612,NS.75,BuOH.150
CA_C0026,1.90602,-0.01421,0.00323,NS.75,BuOH.150
CA_C0027,2.36966,-0.04238,0.01192,NS.75,BuOH.150
CA_C0028,3.35378,-0.06267,0.01425,NS.75,BuOH.150
CA_C0029,2.81761,0.4005,0.2433,NS.75,BuOH.150
CA_C0030,2.99658,-0.02116,0.00511,NS.75,BuOH.150
CA_C0031,1.93134,-0.10283,0.02668,NS.75,BuOH.150
CA_C0032,2.48781,-0.23712,0.31309,NS.75,BuOH.150
CA_C0033,2.58129,-0.39919,0.34718,NS.75,BuOH.150
CA_C0034,2.59792,0.0914,0.01945,NS.75,BuOH.150
CA_C0035,1.36663,0.5765,0.16442,NS.75,BuOH.150
CA_C0036,1.21304,0.20089,0.05168,NS.75,BuOH.150
CA_C0037,1.26714,0.23596,0.05955,NS.75,BuOH.150
CA_C0038,0.60294,0.32451,0,NS.75,BuOH.150
CA_C0039,2.04126,0.13117,0.05199,NS.75,BuOH.150
